seconds	Apache	Wget	openvpn
1	100.00	100.00	100.00
2	99.05	98.08	98.10
3	94.29	95.48	94.86
4	95.24	96.15	95.24
5	95.24	96.15	95.24
6	96.19	97.12	96.19
7	96.19	97.12	96.19
8	96.19	97.12	96.19
9	96.19	97.12	96.19
10	96.19	97.12	96.19
11	97.14	98.08	97.14
12	97.14	97.12	97.14
13	97.14	98.08	97.14
14	97.14	98.08	97.14
15	97.14	98.08	97.14
16	97.14	98.08	97.14
17	97.14	98.08	97.14
18	97.14	98.08	97.14
19	97.14	98.08	92.67
20	97.14	98.08	92.86
21	97.14	98.08	93.14
22	97.14	98.08	93.33
23	97.14	94.23	93.52
24	97.14	94.42	93.71
25	97.14	94.71	93.90
26	97.14	94.81	94.00
27	97.14	94.90	94.19
28	97.14	95.10	94.29
29	97.14	95.19	94.38
30	97.14	95.29	94.48
31	97.14	95.38	94.57
32	97.14	95.58	94.76
33	94.76	95.67	94.76
34	94.86	95.77	94.86
35	94.95	95.77	94.95
36	95.05	95.87	95.05
37	95.14	95.96	95.14
38	95.14	96.06	95.24
39	95.24	96.06	95.24
40	95.24	96.15	95.24
41	95.24	96.15	95.24
42	95.24	96.15	95.24
43	95.24	96.15	95.24
44	95.24	96.15	95.24
45	95.24	96.15	95.24
46	95.24	96.15	95.24
47	95.24	96.15	95.24
48	95.24	96.15	95.24
49	95.24	96.15	95.24
50	95.24	96.15	95.24
51	95.24	96.15	95.24
52	95.24	96.15	95.24
53	95.24	96.15	94.19
54	95.24	96.15	94.29
55	95.24	96.15	94.38
56	95.24	96.15	94.48
57	95.24	96.15	94.48
58	95.24	96.15	94.57
59	96.19	95.38	94.57
60	96.19	95.48	94.67
61	96.19	95.48	94.67
62	96.19	95.58	94.76
63	96.19	95.67	94.76
64	96.19	95.67	94.86
65	96.19	95.77	94.86
66	96.19	95.77	94.95
67	96.19	95.87	94.95
68	95.05	95.87	95.05
69	95.05	95.87	95.05
70	95.05	95.96	95.14
71	95.14	95.96	95.24
72	95.14	95.96	95.24
73	95.24	96.06	95.24
74	95.24	96.06	95.24
75	95.24	96.15	95.24
76	95.24	96.15	95.24
77	95.24	96.15	95.24
78	95.24	96.15	95.24
79	95.24	96.15	95.24
80	95.24	96.15	95.24
81	95.24	96.15	95.24
82	95.24	96.15	95.24
83	95.24	96.15	95.24
84	95.24	96.15	95.24
85	95.24	96.15	95.24
86	95.24	96.15	94.57
87	95.24	96.15	94.67
88	95.24	96.15	94.67
89	95.24	96.15	94.67
90	95.24	96.15	94.76
91	95.24	96.15	94.76
92	95.24	96.15	94.76
93	95.24	96.15	94.86
94	95.24	95.67	94.86
95	95.24	95.67	94.86
96	95.24	95.77	94.86
97	95.24	95.77	94.95
98	95.24	95.77	94.95
99	95.24	95.87	94.95
100	95.24	95.87	95.05
101	95.24	95.87	95.05
102	95.24	95.87	95.05
103	95.05	95.96	95.05
104	95.05	95.96	95.14
105	95.05	95.96	95.14
106	95.14	96.06	95.14
107	95.14	96.06	95.24
108	95.14	96.06	95.24
109	95.24	96.06	95.24
110	95.24	96.15	95.24
111	95.24	96.15	95.24
112	95.24	96.15	95.24
113	95.24	96.15	95.24
114	95.24	96.15	95.24
