seconds	Apache	Wget	openvpn
1	0.40	0.40	0.40
2	0.80	0.80	0.80
3	0.90	0.90	0.90
4	1.10	1.00	1.00
5	1.10	1.10	1.10
6	1.20	1.20	1.20
7	1.30	1.30	1.30
8	1.40	1.30	1.40
9	1.50	1.40	1.40
10	1.50	1.40	1.50
11	1.60	1.50	1.60
12	1.60	1.60	1.70
13	1.80	1.70	1.80
14	1.90	1.80	1.80
15	2.00	1.90	1.90
16	2.10	2.00	2.00
17	2.50	2.30	2.00
18	2.50	2.40	2.10
19	2.70	2.50	2.20
20	2.80	2.60	2.40
21	2.80	2.70	2.50
22	2.80	2.80	2.60
23	2.80	2.80	3.10
24	2.80	2.80	3.20
25	2.80	2.80	3.20
26	2.80	2.80	3.50
27	2.80	2.90	3.80
28	2.80	2.90	3.70
29	2.80	2.90	3.70
30	2.80	2.90	3.70
31	2.90	2.90	3.70
32	2.90	2.90	3.70
33	2.90	2.90	3.70
34	2.90	2.90	3.80
35	2.90	2.90	3.80
36	2.90	2.90	3.80
37	2.90	2.90	3.80
38	2.90	2.90	3.80
39	2.90	2.90	3.80
40	3.00	3.10	3.80
41	3.00	3.10	3.80
42	3.00	3.10	3.80
43	3.00	3.10	3.80
44	3.00	3.10	3.80
45	3.10	3.10	3.80
46	3.10	3.20	3.80
47	3.10	3.20	3.80
48	3.10	3.20	3.90
49	3.10	3.20	3.90
50	3.20	3.20	3.90
51	3.20	3.30	3.90
52	3.20	3.30	3.90
53	3.20	3.30	3.90
54	3.20	3.30	3.90
55	3.30	3.40	3.90
56	3.30	3.40	3.90
57	3.30	3.40	3.90
58	3.30	3.50	3.90
59	3.40	3.50	3.90
60	3.40	3.50	3.90
61	3.40	3.50	4.00
62	3.40	3.50	4.00
63	3.50	3.50	4.00
64	3.50	3.60	4.20
65	3.50	3.60	4.20
66	3.50	3.60	4.20
67	3.50	3.60	4.20
68	3.50	3.60	4.20
69	3.50	3.70	4.50
70	3.50	3.70	4.70
71	3.50	3.70	5.00
72	3.50	3.70	5.20
73	3.60	3.70	5.30
74	3.60	3.70	5.50
75	3.60	3.70	5.60
76	3.60	3.80	5.60
77	3.60	3.80	5.60
78	3.60	3.80	5.60
79	3.60	3.80	5.60
80	3.60	3.80	5.60
81	3.60	3.80	5.60
82	3.60	3.80	5.60
83	3.60	3.80	5.60
84	3.60	3.80	5.70
85	3.60	3.80	5.70
86	3.60	3.80	5.70
87	3.70	3.80	5.70
88	3.70	3.80	5.70
89	3.70	3.80	5.80
90	3.70	3.80	5.80
91	3.70	3.90	5.80
92	3.70	3.90	5.80
93	3.70	3.90	5.80
94	3.70	3.90	5.90
95	3.70	3.90	5.90
96	3.70	3.90	5.90
97	3.70	3.90	5.90
98	3.70	3.90	5.90
99	3.70	3.90	6.00
100	3.70	3.90	6.00
101	3.70	3.90	6.00
102	3.70	3.90	6.00
103	3.70	4.00	6.00
104	3.70	4.00	6.00
105	3.70	4.10	6.00
106	3.70	4.10	6.10
107	3.70	4.10	6.10
108	3.70	4.10	6.10
109	3.70	4.10	6.10
110	3.70	4.10	6.10
111	3.70	4.10	6.10
112	3.80	4.10	6.10
113	3.80	4.10	6.10
114	3.80	4.10	6.20
115	3.80	4.10	6.20
116	3.80	4.10	6.20
117	3.80	4.10	6.20
118	3.80	4.10	6.20
119	3.80	4.10	6.20
120	3.80	4.10	6.20
121	3.80	4.10	6.20
122	3.80	4.10	6.20
123	3.80	4.10	6.20
124	3.80	4.10	6.20
125	3.80	4.10	6.20
126	3.80	4.10	6.20
127	3.80	4.10	6.20
128	3.80	4.10	6.20
129	3.80	4.10	6.20
130	3.80	4.10	6.20
131	3.80	4.10	6.20
132	3.80	4.10	6.20
133	3.80	4.10	6.20
134	3.80	4.10	6.20
135	3.80	4.10	6.20
136	3.80	4.10	6.20
137	3.80	4.10	6.20
138	3.80	4.10	6.20
139	3.80	4.10	6.20
140	3.80	4.10	6.20
141	3.80	4.10	6.20
142	3.80	4.10	6.20
143	3.80	4.10	6.20
144	3.80	4.10	6.20
145	3.80	4.10	6.20
146	3.80	4.10	6.20
147	3.80	4.10	6.20
148	3.80	4.10	6.20
149	3.80	4.10	6.20
150	3.80	4.10	6.20
151	3.80	4.10	6.20
152	3.80	4.10	6.20
153	3.80	4.10	6.20
154	3.80	4.10	6.20
155	3.80	4.10	6.20
156	3.80	4.10	6.20
157	3.80	4.10	6.20
158	3.80	4.10	6.20
159	3.80	4.20	6.20
160	3.80	4.20	6.20
161	3.80	4.20	6.20
162	3.80	4.20	6.20
163	3.80	4.20	6.20
164	3.80	4.20	6.20
165	3.80	4.20	6.20
166	3.80	6.20	
167	3.80	6.20	
168	3.80	6.20	
169	3.80	6.20	
170	3.80	6.20	
171	3.80	6.20	
172	3.80	6.20	
173	3.90	6.20	
174	3.90	6.20	
175	4.00	6.20	
176	4.00	6.20	
177	4.00	6.20	
178	4.00	6.20	
179	4.00	6.20	
180	4.00	6.20	
181	4.00	6.20	
182	4.00	6.20	
183	4.00	6.20	
184	4.00	6.20	
185	4.00	6.20	
186	4.00	6.20	
187	4.00	6.20	
188	4.00	6.20	
189	4.00	6.20	
190	4.00	6.20	
191	4.00	6.20	
192	4.00	6.20	
193	4.00	6.20	
194	4.00	6.20	
195	4.00	6.20	
196	4.00	6.20	
197	4.00	6.20	
198	4.00	6.20	
199	4.00	6.20	
200	4.00	6.20	
201	4.00	6.20	
202	4.00	6.20	
203	4.00	6.20	
204	4.00	6.20	
205	4.00	6.20	
206	4.00	6.20	
207	4.00	6.20	
208	4.00	6.20	
209	4.00	6.20	
210	4.00	6.20	
211	4.00	6.20	
212	4.00	6.20	
213	4.00	6.20	
214	4.00	6.20	
215	4.00	6.20	
216	4.00	6.20	
217	4.00	6.20	
218	4.00	6.20	
219	4.00	6.20	
220	4.00	6.20	
221	4.00	6.20	
222	4.00	6.20	
223	4.00	6.20	
224	4.00	6.20	
225	4.00	6.20	
226	4.00	6.20	
227	4.00	6.20	
228	4.00	6.20	
229	4.00	6.20	
230	4.00	6.20	
231	4.00	6.20	
232	4.00	6.20	
233	4.00	6.20	
234	4.00	6.20	
235	4.00	6.20	
236	4.00	6.20	
237	4.00	6.20	
238	4.00	6.20	
239	4.00	6.20	
240	4.00	6.20	
241	4.00	6.20	
242	4.00	6.20	
243	4.00	6.20	
244	4.00	6.20	
245	6.20		
246	6.20		
247	6.20		
248	6.20		
249	6.20		
250	6.20		
251	6.20		
252	6.20		
253	6.20		
254	6.20		
255	6.20		
256	6.20		
257	6.20		
258	6.20		
259	6.20		
260	6.20		
261	6.20		
262	6.20		
263	6.20		
264	6.20		
265	6.20		
266	6.20		
267	6.20		
268	6.20		
269	6.20		
270	6.20		
271	6.20		
272	6.20		
273	6.20		
274	6.20		
275	6.20		
276	6.20		
277	6.20		
278	6.20		
279	6.20		
280	6.20		
281	6.20		
282	6.20		
